id,rank,descripton
Pch.com,100,Online sweepstakes and shopping site. Cookies required to use the site.
Netflix.com,26,Flat monthly fee streaming TV and movies service.
Yelp.com,27,"Members share their favorite recommendations - everything from the latest restaurants and shops,, to the best hair salons and spas, to doctors and yoga instructors."
Msn.com,28,"Portal for shopping, news and money, e-mail, search, and chat."
Imdb.com,29,"Features plot summaries, reviews, cast lists, and theatre schedules."
Apple.com,30,"Official site, with details of products and services."
Weather.com,31,"Forecasts worldwide, Doppler radar and satellite maps, weather news, and flight and events info,rmation."
Aol.com,32,America Online's official site.
Bankofamerica.com,33,"Nationwide bank. Includes product and service information, online banking and bank location fin,der."
Chase.com,34,The largest banking company in the United States.
Nytimes.com,35,Online edition of the newspaper's news and commentary. [Registration required]
Microsoft.com,36,"Main site for product information, support, and news."
Godaddy.com,37,Domain registrations and hosting services.
Zillow.com,38,"Zillow.com launched its beta service in February 2006, with the goal of empowering consumers wi,th tools and information to transform how they buy and sell homes. Zillow was started by a group of Internet veterans, including Expedia founder and former CEO Rich Barton and former Expedia Senior Vice President Lloyd Frink."
T.co,39, 
Walmart.com,40,"Provides customers with on-line shopping of wide range of inventory items. Retail, clothing, re,creational and home products available."
Wellsfargo.com,41,"Connects customers to essential financial services 24 hours a day -- by ATM, phone or personal ,computer, as well as through a growing network of traditional and supermarket branches."
Foxnews.com,42,"Breaking News, Latest News and Current News from FoxNews.com. Breaking news and video. Latest C,urrent News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports."
Buzzfeed.com,43,"And when you read BuzzFeed, you’ll always know the movies, music, and products that are on the ,rise and worth your time. You can join the fun by reading the latest at BuzzFeed.com, subscribing via RSS or email , adding the BuzzFeed widget to your site, and contribute by posting your own images, videos, links and comments. Be sure to sign up for a BuzzFeed account and stay tuned for more features coming soon."
About.com,44,"Directory featuring links, articles and reviews."
Salesforce.com,45,"Provides on-demand customer relationship management (CRM) software services to help companies w,ith global customer communication."
Ask.com,46,"Offers search for web sites, images, news, blogs, video, maps and directions, local search and ,shopping."
Xvideos.com,47, 
Stackoverflow.com,48,"A language-independent collaboratively edited question and answer site for programmers. Questio,ns and answers displayed by user votes and tags."
Secureserver.net,49, 
Pornhub.com,50,Please contact dice[/at/]pornhub[/dot/]com for any inquiries.
Pandora.com,51,Music discovery service. Users create custom streaming audio stations based on music tastes.
Dropbox.com,52,"Store, synchronize and share files online with public access. Free version offers up to 16 GB. ,Provides a desktop client for Windows, Mac, and Linux, and has apps for iPhone, iPad, Android, and BlackBerry."
Wordpress.org,53,"A semantic personal publishing platform with a focus on aesthetics, web standards, and usability.,y."
Forbes.com,54,"Information about companies and the people who run them. Forbes success lists including the Pla,tinum 400 best-performing U.S. big companies, the Private 500 largest U.S. private firms, and the world's richest people."
Xhamster.com,55,"xHamster is a community of open-minded people. Our site contains adult videos, photos, dating, ,flash games and live sex cams."
Etsy.com,56, 
Blogger.com,57,"Free, automated weblog publishing tool that sends updates to a site via FTP."
Comcast.net,58, 
Cnet.com,59,"Reviews, news, and prices on tech products, as well as free downloads and newsletters."
Indeed.com,60,"Indeed is a search engine for jobs - with a radically different approach to job search. In one ,simple search, Indeed gives job seekers free access to millions of employment opportunities from thousands of websites. Indeed.com includes all the job listings from major job boards, newspapers, associations and company career pages - and we continue to add new sites every day."
Fiverr.com,61,The place for people to share things they’re willing to do for $5.
Hootsuite.com,62,"HootSuite is a social media management system for businesses and organizations to collaborative,ly execute campaigns across multiple social networks from one secure, web-based dashboard. Launch marketing campaigns, identify and grow audience, and distribute targeted messages using HootSuite’s unique social media dashboard. Streamline team workflow with scheduling and assignment tools and reach audiences with geo-targeting functionality. Invite multiple collaborators to manage social profiles securely, plus provide custom reports using the comprehensive social analytics tools for measurement. Key social network integrations include Facebook, Twitter, LinkedIn, and Google+ Pages, plus a suite of social content apps for YouTube, Flickr, Tumblr and more."
Vimeo.com,63,Vimeo is the home for high-quality videos and the people who love them.
Tripadvisor.com,64,"Information on hotels, resorts and packages with reviews from travellers with star ratings."
Adobe.com,65,"Developers of software solutions for graphic designers and professional publishers, products in,clude Illustrator, Photoshop, Premiere, After Effects, LiveMotion, InDesign, Studio, FrameMaker, PhotoDeluxe and several others. Also develops third party plugins."
Flickr.com,66,"Picture galleries available with chat, groups, and photo ratings."
Businessinsider.com,67, 
Usps.com,68,"USPS home page providing access to services, products, employment opportunities, and general ag,ency information."
Answers.com,69,"This free reference tool from Answers.com can look up quick answers in a range of authoritative, sources, while you're working with any application."
Dailymail.co.uk,70,"National tabloid offers news, sport, entertainment, and horoscopes."
Ups.com,71,"Company news, tracking, software, employment information, and FAQ."
Target.com,72,"General merchandise retailer. Includes careers, news releases, investor information, community ,giving and workplace diversity."
Mailchimp.com,73,"Online email marketing solution to manage contacts, send emails and track results. Offers plug-,ins for other programs."
Livejasmin.com,74,The World's #1 Most Visited Video Chat Community.
Usatoday.com,75,National daily newspaper.
Mashable.com,101,News weblog about social networking web sites and Social Media
Americanexpress.com,102,"Provides a wide range of card, travel, and financial services to individuals and businesses."
Xnxx.com,103,"Categorized in multiple languages, this site features links to pics, movies and stories in vari,ous niches such as public nude, upskirt and shemales."
Force.com,104, 
Meetup.com,105,"Helps groups of people with shared interests plan events and facilitates off line group meeting,s in various localities around the world."
Mlb.com,106,"Coverage includes audio and video clips, interviews, statistics, schedules and exclusive stories.,s."
Soundcloud.com,107,"An audio platform that enables sound creators to upload, record, promote and share their origin,ally-created sounds"
Intuit.com,108,Offers tax compliance products for tax professionals and individual filers.
Themeforest.net,109, 
Conduit.com,110,Free customizable toolbar to stay connected to users even when they are surfing other websites.
Abcnews.go.com,111,"Includes American and world news headlines, articles, chatrooms, message boards, news alerts, v,ideo and audio webcasts, shopping, and wireless news service. As well as news television show information and content."
Stumbleupon.com,112,"A web browser plugin that allows users to discover and rate webpages, photos, videos, and news ,articles."
Deviantart.com,113,Gallery of digital works submitted by members.
Webmd.com,114,"Resource for consumers, physicians, nurses, and educators. Includes news, chat forums, health q,uizzes and consumer product updates."
Hostgator.com,115,"Offers reseller, shared and dedicated plans."
Kickass.to,116, 
Github.com,117,"GitHub is the best place to share code with friends, co-workers, classmates, and complete stran,gers. Over four million people use GitHub to build amazing things together."
Redtube.com,118, 
Verizonwireless.com,119,"Offers cell phones, PDAs, wireless mobile phone plans, data plans in the United States and part,s of Mexico and Canada."
Bbc.com,120, 
Expedia.com,121,"Compare prices, shop for a vacation or cruise, reserve an hotel room or rent a car."
Okcupid.com,122,Free Online Dating
Youporn.com,123,"Users can watch streamed clips and upload their own videos. Premium accounts are also available.,."
Verizon.com,124,"Local Exchange Carrier (LEC). Offers long distance, data, and Internet services as well."
Ehow.com,125,"Provides concise how-to articles written by professionals and users covering a broad range of t,opics."
